publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2020p287927,earthquake,2020-04-16T12:48:01.839Z,2020-04-16T12:50:48.735Z,174.9458008,-35.81422424,2.087508558,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,6,0.5034471154,198.5778961,0.2851801122,0
2020p285395,earthquake,2020-04-15T14:18:43.066Z,2020-04-15T14:23:14.458Z,174.9281616,-35.8169899,2.040342677,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,13,9,0.488876313,196.9980164,0.6353717787,0
2020p285310,earthquake,2020-04-15T13:33:19.038Z,2020-04-15T13:37:06.867Z,174.9925232,-35.79819107,2.939488275,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,26,20,13,0.544251442,203.7696075,0.635929922,0
2020p285259,earthquake,2020-04-15T13:06:14.905Z,2020-04-28T01:23:43.366Z,174.9173889,-35.84700775,2.510505625,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,21,15,11,0.47363922,192.9664001,0.6337615406,0
2020p285257,earthquake,2020-04-15T13:05:23.822Z,2020-04-28T01:23:01.421Z,174.9495239,-35.82207489,2.56190862,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,23,16,10,0.5044910312,198.0183716,0.7077685376,0
2020p266662,earthquake,2020-04-08T15:57:53.714Z,2020-04-08T16:02:34.523Z,175.2041626,-36.85139084,0.9095394927,3.955308676,M,,LOCSAT,confirmed,manual,iasp91,10,7,3,0.0810906142,168.8868275,0.2142133439,0
2020p260400,earthquake,2020-04-06T08:21:24.861Z,2020-04-06T08:23:32.510Z,175.2191467,-36.83742905,2.094278428,3.513324976,M,,LOCSAT,confirmed,manual,iasp91,24,17,11,0.08152840286,100.4780807,0.2458153481,0
2020p254619,earthquake,2020-04-04T05:01:08.580Z,2020-04-20T23:51:33.813Z,175.6613922,-37.70183563,2.578725924,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,26,18,12,0.1298217922,81.20745468,0.408404449,0
2020p251818,quarry blast,2020-04-03T04:08:48.000Z,2020-04-03T04:14:22.569Z,175.1751,-37.61,1.762266306,0,M,,,confirmed,manual,,0,0,6,0,0,0.8806767753,0
2020p213965,quarry blast,2020-03-20T04:00:53.000Z,2020-03-20T04:11:26.146Z,175.06,-37.61,1.769350545,0,M,,,confirmed,manual,,0,0,5,0,0,0.9703419604,0
2020p195037,quarry blast,2020-03-13T03:56:07.000Z,2020-03-13T04:01:00.025Z,175.06,-37.6152,1.785121366,0,M,,,confirmed,manual,,0,0,7,0,0,0.3800332289,0
2020p146099,earthquake,2020-02-24T01:21:42.728Z,2020-02-24T17:43:14.146Z,175.0238953,-37.02544022,0.9360311844,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,6,6,0.1052463502,111.7878799,0.1395144496,0
2020p132358,earthquake,2020-02-18T23:20:28.265Z,2020-02-18T23:28:59.438Z,175.3795624,-37.13083267,1.95524838,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,17,11,7,0.176598981,135.3106194,0.4107837569,0
2020p130189,quarry blast,2020-02-18T04:04:42.000Z,2020-02-18T04:14:55.290Z,175.06,-37.61,1.907864585,0,M,,,confirmed,manual,,0,0,7,0,0,0.8593895328,0
2020p107760,earthquake,2020-02-09T20:54:31.018Z,2020-02-09T21:02:37.453Z,176.3274841,-36.6558075,2.588572711,246.6798859,M,,LOCSAT,confirmed,manual,iasp91,21,14,4,1.598697186,289.3914032,0.5102545755,0
2020p054505,quarry blast,2020-01-21T04:00:37.000Z,2020-01-21T04:05:14.039Z,175.0119,-36.9471,0.8724584916,0,M,,,confirmed,manual,,0,0,7,0,0,1.224366234,0
2020p040710,quarry blast,2020-01-16T01:30:19.000Z,2020-01-16T01:33:18.764Z,175.06,-37.61,1.928716238,0,M,,,confirmed,manual,,0,0,7,0,0,1.032936476,0
2020p022074,quarry blast,2020-01-09T04:01:30.056Z,2020-01-09T04:19:04.033Z,175.001236,-36.97809982,0.8967296423,0,M,,LOCSAT,confirmed,manual,iasp91,11,11,5,0.06374017894,101.0967712,0.5954758432,0
2020p020036,earthquake,2020-01-08T09:55:32.023Z,2020-01-08T09:57:21.716Z,175.6641235,-37.57584763,2.22360167,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,23,13,8,0.04078226537,82.0690918,0.4764436034,0
2019p973410,quarry blast,2019-12-27T03:53:18.000Z,2019-12-27T03:57:12.381Z,175.06,-37.61,1.957011802,0,M,,,confirmed,manual,,0,0,8,0,0,0.8822638216,0
2019p969109,earthquake,2019-12-25T13:41:53.483Z,2019-12-25T13:54:28.348Z,174.9823151,-35.80775452,2.894643372,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,14,10,0.5337994099,201.9987946,0.3460546655,0
2019p968308,earthquake,2019-12-25T06:34:47.455Z,2019-12-25T06:40:50.213Z,174.9405365,-35.81002808,2.115762391,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,14,6,0.500374794,198.635025,0.8080955931,0
